text,level
私は学生です。,N5
これはペンですか。,N5
昨日は映画を見ました。,N5
猫がテーブルの上にいます。,N5
日本語を勉強しています。,N5
毎朝コーヒーを飲みます。,N5
先生はどこですか。,N5
明日は学校に行きます。,N5
車が好きです。,N5
今何時ですか。,N5
この本はとても面白いです。,N4
去年日本へ行きました。,N4
雨が降っているので、傘を持ってください。,N4
駅まで歩いて十分ぐらいかかります。,N4
朝ご飯を食べないで学校へ行きました。,N4
電車が遅れたため、会議に間に合いませんでした。,N4
友達に写真を見せてもらいました。,N4
料理を作るのが好きです。,N4
あの人はいつも笑顔です。,N4
日本の文化に興味があります。,N4
最近忙しくて、あまり眠れません。,N3
明日の予定を確認しておいてください。,N3
新しいプロジェクトが始まりました。,N3
彼の説明は少し分かりにくかったです。,N3
問題があれば、私に知らせてください。,N3
大学を卒業してから、会社に入りました。,N3
この製品は他のものより高性能です。,N3
面接の結果は来週わかります。,N3
彼女は約束を守る人です。,N3
会議中にスマートフォンを使わないでください。,N3
環境問題について考える必要があります。,N2
彼は経済の専門家として有名です。,N2
新しい技術が次々に開発されている。,N2
必要に応じて計画を変更します。,N2
その結果は予想以上に良かった。,N2
消費者の意識が変わりつつある。,N2
政府はこの問題に真剣に取り組むべきだ。,N2
効率的な方法を見つけることが重要だ。,N2
難しい状況にもかかわらず、彼は冷静だった。,N2
彼女の意見は非常に説得力がある。,N2
国際社会における日本の役割を考える。, N1
自然災害への備えが求められている。,N1
科学技術の進歩は人類に何をもたらすのか。,N1
文化の多様性を尊重する姿勢が大切だ。,N1
政治的な判断が国民の生活に大きな影響を与える。,N1
地球温暖化の影響は深刻化している。,N1
経済成長と環境保護の両立は可能だろうか。,N1
医療制度の改革について議論が進んでいる。,N1
世界的な視点から考えることが必要だ。,N1
情報社会におけるプライバシーの問題が注目されている。,N1
